x1,x2,col
3,0.8,blue
3,0.9,blue
3,1,blue
3,1.1,blue
3,1.2,blue
3,1.3,blue
3,1.4,blue
3,1.5,blue
3,1.6,blue
3,1.7,blue
3,1.8,blue
3,1.9,blue
3,2,blue
3,2.1,blue
3,2.2,blue
3,2.3,blue
3,2.4,blue
3,2.5,blue
3,2.6,blue
3,2.7,blue
3,2.8,blue
3,2.9,blue
3,3,blue
-3,-3,blue
-2.9,-3,blue
-2.8,-3,blue
-2.7,-3,blue
-2.6,-3,blue
-2.5,-3,blue
-2.4,-3,blue
-2.3,-3,blue
-2.2,-3,blue
-2.1,-3,blue
-2,-3,blue
-1.9,-3,blue
-1.8,-3,blue
-1.7,-3,blue
-1.6,-3,blue
-1.5,-3,blue
-1.4,-3,blue
-1.3,-3,blue
-1.2,-3,blue
-1.1,-3,blue
-1,-3,blue
-0.9,-3,blue
-0.8,-3,blue
-0.7,-3,blue
-0.6,-3,blue
-0.5,-3,blue
-0.4,-3,blue
-0.3,-3,blue
-0.2,-3,blue
-0.1,-3,blue
0,-3,blue
0.1,-3,blue
0.2,-3,blue
0.3,-3,blue
0.4,-3,blue
0.5,-3,blue
0.6,-3,blue
0.7,-3,blue
0.8,-3,blue
0.9,-3,blue
1,-3,blue
1.1,-3,blue
1.2,-3,blue
1.3,-3,blue
1.4,-3,blue
1.5,-3,blue
1.6,-3,blue
1.7,-3,blue
1.8,-3,blue
1.9,-3,blue
2,-3,blue
2.1,-3,blue
2.2,-3,blue
2.3,-3,blue
2.4,-3,blue
2.5,-3,blue
2.6,-3,blue
2.7,-3,blue
2.8,-3,blue
2.9,-3,blue
3,-3,blue
-3,3,blue
-2.9,3,blue
-2.8,3,blue
-2.7,3,blue
-2.6,3,blue
-2.5,3,blue
-2.4,3,blue
-2.3,3,blue
-2.2,3,blue
-2.1,3,blue
-2,3,blue
-1.9,3,blue
-1.8,3,blue
-1.7,3,blue
-1.6,3,blue
-1.5,3,blue
-1.4,3,blue
-1.3,3,blue
-1.2,3,blue
-1.1,3,blue
-1,3,blue
-0.9,3,blue
-0.8,3,blue
-0.7,3,blue
-0.6,3,blue
-0.5,3,blue
-0.4,3,blue
-0.3,3,blue
-0.2,3,blue
-0.1,3,blue
0,3,blue
0.1,3,blue
0.2,3,blue
0.3,3,blue
0.4,3,blue
0.5,3,blue
0.6,3,blue
0.7,3,blue
0.8,3,blue
0.9,3,blue
1,3,blue
1.1,3,blue
1.2,3,blue
1.3,3,blue
1.4,3,blue
1.5,3,blue
1.6,3,blue
1.7,3,blue
1.8,3,blue
1.9,3,blue
2,3,blue
2.1,3,blue
2.2,3,blue
2.3,3,blue
2.4,3,blue
2.5,3,blue
2.6,3,blue
2.7,3,blue
2.8,3,blue
2.9,3,blue
3,3,blue
